protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_mean,pkt_len_std,flow_iat_mean,flow_iat_max,flow_iat_std,fwd_iat_tot,bwd_iat_tot,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,ack_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,subflow_fwd_pkts,subflow_bwd_pkts
6,0.6877126693725586,7727.064276492507,14.540956485684054,5.816382594273622,8.724573891410433,4,6,4472,1215.0,1880.9956140299744,4472,531.4,1314.3566639234575,0.07641251881917317,0.6441926956176758,0.20114219805317315,0.6877126693725586,0.6446363925933838,0,0,0,10,1.56,0.0002565383911132812517,0.057991743087768555,5449.0515920817315,51.731502456472136,34.48766830431476,17.24383415215738,2,1,100,100.0,0.0,116,105.33333333333333,7.542472332656507,0.028995871543884277,0.057991743087768555,0.0289956,4.220148324966431,2513.8926841118528,4.976128416094722,1.8956679680360846,3.0804604480586377,8,13,4472,1205.25,1886.5963896657918,4472,505.1904761904762,1287.7101721770878,0.21100741624832153,2.806975841522217,0.6293957838861325,4.220148324966431,4.177317142486572,0,0,0,21,1.625,505.1904761904762,65535,64240,8,13
17,6,2.2648775577545166,26638.96765342907,31.34827300350489,10.155074353248063,21.19319865025683,23,48,19034,2199.2608695652175,4364.838312831812,19034,849.7746478873239,2682.9018092786237,0.03235539368220738,0.45159244537353516,0.0946020095982272,2.2648775577545166,1.9358904361724854,0,3,0,69,2.0869565217391304,849.7746478873239,64240,64240,23,48
17,0.32575321197509766,828.8483123863726,9.209425693181919,6.139617128787945,3.0698085643939725,2,1,90,90.0,0.0,90,90.0,0.0,0.16287660598754883,0.32575321197509766,0.16287660598754883,0,0,0,0,0,0,0.5,90.0,0,0,2,1
6,0.0,0,0,0,0,2,0,54,54.0,0.0,54,54.0,0.0,0,0,0,0,0,0,0,0,2,0.0,54.0,65535,0,2,0
17,0.060483694076538086,5224.54861305467,49.6001450606456,33.066763373763735,16.533381686881867,2,1,100,100.0,0.0,116,105.33333333333333,7.542472332656507,0.030241847038269043,0.060483694076538086,0.030241847038269043,0,0,0,0,0,0,0.5,105.33333333333333,0,0,2,1
17,0.04964089393615723,7735.557713643502,60.43404463783986,40.28936309189324,20.14468154594662,2,1,100,100.0,0.0,184,128.0,39.59797974644666,0.024820446968078613,0.04964089393615723,0.024820446968078613,0,0,0,0,0,0,0.5,128.0,0,0,2,1
17,0.13509488105773926,3516.0473607951585,37.01102485047536,22.206614910285214,14.804409940190142,3,2,79,79.0,0.0,119,95.0,19.595917942265423,0.033773720264434814,0.10265421867370605,0.04179592610218478,0.03181147575378418,0,0,0,0,0,0.6666666666666666,95.0,0,0,3,2
6,0.3628673553466797,2460.954359332867,16.534967699884888,11.023311799923258,5.511655899961629,4,2,571,193.25,218.2468499199931,571,148.83333333333334,188.94480381552938,0.07257347106933594,0.35975050926208496,0.14358998998963576,0.36141419410705566,0,0,3,0,4,0.5,148.83333333333334,64240,64240,4,2

17,0.32575321197509766,828.8483123863726,9.209425693181919,6.139617128787945,3.0698085643939725,2,1,90,90.0,0.0,90,90.0,0.0,0.16287660598754883,0.32575321197509766,0.16287660598754883,0,0,0,0,0,0,0.5,90.0,0,0,2,1
6,0.0,0,0,0,0,2,0,54,54.0,0.0,54,54.0,0.0,0,0,0,0,0,0,0,0,2,0.0,54.0,65535,0,2,0
17,0.060483694076538086,5224.54861305467,49.6001450606456,33.066763373763735,16.533381686881867,2,1,100,100.0,0.0,116,105.33333333333333,7.542472332656507,0.030241847038269043,0.060483694076538086,0.030241847038269043,0,0,0,0,0,0,0.5,105.33333333333333,0,0,2,1
17,0.04964089393615723,7735.557713643502,60.43404463783986,40.28936309189324,20.14468154594662,2,1,100,100.0,0.0,184,128.0,39.59797974644666,0.024820446968078613,0.04964089393615723,0.024820446968078613,0,0,0,0,0,0,0.5,128.0,0,0,2,1
17,0.13509488105773926,3516.0473607951585,37.01102485047536,22.206614910285214,14.804409940190142,3,2,79,79.0,0.0,119,95.0,19.595917942265423,0.033773720264434814,0.10265421867370605,0.04179592610218478,0.03181147575378418,0,0,0,0,0,0.6666666666666666,95.0,0,0,3,2
6,0.3628673553466797,2460.954359332867,16.534967699884888,11.023311799923258,5.511655899961629,4,2,571,193.25,218.2468499199931,571,148.83333333333334,188.94480381552938,0.07257347106933594,0.35975050926208496,0.14358998998963576,0.36141419410705566,0,0,3,0,4,0.5,148.83333333333334,64240,64240,4,2
